,Yokohama,Shimizu,Nagoya,Kobe,Busan,Kwangyang,Dalian,Xingang,Qingdao,Liangyungang,Shanghai,Ningbo,Fuzhou,Taipei,Xiamen,Kaohsiung,Shenzhen Yantian,Hong Kong,Shenzhen Chiwan,Shenzhen Da Chan Bay,Vung Tau,Laem Chabang,Singapore,Tanjung Pelepas,Port Klang,Colombo,Jebel Ali,Salalah,Jeddah,Port Said,Damietta,Izmit,Istanbul Ambarli,Odessa,Ilyichevsk,Constantza,Piraeus,Rijeka,Koper,Trieste,Gioia Tauro,Genoa,Fos,Barcelona,Valencia,Malaga,Algeciras,Tangiers,Le Havre,Felixstowe,Zeebrugge,Antwerp,Rotterdam,Bremerhaven,Hamburg,Gothenburg,Aarhus,Gdansk
Shenzhen Yantian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42727,13405,11874,13328,4260,600,7052,473,365,2283,5390,557,1318,1064,10755,5891,3390,6914,14034,1113,11687,3841,8450,11907,8942,28076,37423,17422,26925,3140,2623,924
Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73688,23118,20477,22986,7348,1035,12162,816,630,3937,9296,961,2273,1835,18548,10159,5846,11925,24204,1920,20156,6624,14573,20535,15422,48420,64541,30046,46435,5416,4524,1594
Shenzhen Chiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16023,5027,4453,4998,1598,225,2644,178,137,856,2021,209,494,399,4033,2209,1271,2593,5263,418,4383,1440,3169,4465,3353,10528,14034,6533,10097,1178,984,347
Shenzhen Da Chan Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5341,1676,1484,1666,533,75,881,59,46,285,674,70,165,133,1344,736,424,864,1754,139,1461,480,1056,1488,1118,3509,4678,2178,3366,393,328,116
Vung Tau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6496,2038,1805,2026,648,91,1072,72,56,347,820,85,200,162,1635,896,515,1051,2134,169,1777,584,1285,1810,1360,4268,5690,2649,4093,477,399,141
Laem Chabang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16230,5092,4510,5063,1618,228,2679,180,139,867,2048,212,501,404,4085,2238,1288,2627,5331,423,4439,1459,3210,4523,3397,10665,14216,6618,10228,1193,997,351
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90837,28499,25243,28335,9058,1276,14992,1007,777,4853,11460,1184,2802,2262,22864,12523,7207,14700,29837,2367,24847,8166,17965,25314,19012,59689,79562,37039,57242,6676,5577,1965
Tanjung Pelepas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21071,6611,5855,6573,2101,296,3478,233,180,1126,2658,275,650,520,5304,2905,3410,6921,549,5763,1894,5872,4167,5872,4410,13846,18455,8592,13278,1549,1294,456
Port Klang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25670,8054,7134,8007,2560,361,4237,284,220,1371,3239,335,792,639,6461,3539,2037,4154,8432,669,7022,2308,5077,7154,5373,16868,22484,10467,16177,1887,1576,555
Colombo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12166,3817,3381,3795,1213,171,2008,135,104,650,1535,159,375,303,3062,1677,965,1969,3996,317,3328,1094,2406,3390,2546,7994,10656,4961,7667,894,747,263
Jebel Ali,3215,575,2428,2582,13737,2080,5231,9997,11790,3471,28730,12069,1352,1149,5378,9861,13981,24112,5243,1748,2126,5311,29723,6895,8400,3981,0,0,0,0,0,180,2110,142,109,683,1613,167,394,318,3217,1762,1014,2069,4199,333,3496,1149,2528,3562,2675,8400,11196,5212,8055,940,785,277
Salalah,1009,180,762,810,4310,653,1641,3136,3699,1089,9014,3786,424,361,1687,3094,4386,7565,1645,548,667,1666,9325,2163,2635,1249,0,0,0,0,0,56,662,44,34,214,506,52,124,100,1009,553,318,649,1317,105,1097,361,793,1118,839,2635,3513,1635,2527,295,246,87
Jeddah,893,160,675,718,3818,578,1454,2778,3276,965,7984,3354,376,319,1495,2740,3885,6700,1457,486,591,1476,8260,1916,2334,1106,0,0,0,0,0,50,586,39,30,190,448,46,110,88,894,490,282,575,1167,93,972,319,703,990,743,2334,3111,1448,2239,261,218,77
Port Said,1003,179,757,805,4285,649,1632,3118,3678,1083,8962,3765,422,358,1678,3076,4361,7521,1635,545,663,1657,9272,2151,2620,1240,0,0,0,0,0,56,658,44,34,213,503,52,123,99,1004,550,316,645,1310,104,1091,358,789,1111,835,2620,3492,1626,2513,293,245,86
Damietta,321,57,242,257,1370,207,522,997,1176,346,2865,1203,135,115,536,983,1394,2404,523,174,212,530,2964,687,838,397,0,0,0,0,0,18,210,14,11,68,161,17,39,32,321,176,101,206,419,33,349,115,252,355,267,838,1116,520,803,94,78,28
Izmit,53,9,40,42,226,34,86,164,194,57,472,198,22,19,88,162,230,396,86,29,35,87,489,113,138,65,210,66,58,66,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Istanbul Ambarli,621,111,469,499,2653,402,1010,1931,2277,670,5549,2331,261,222,1039,1904,2700,4657,1013,338,411,1026,5741,1332,1622,769,2469,775,686,770,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odessa,42,7,31,33,178,27,68,130,153,45,373,156,18,15,70,128,181,313,68,23,28,69,385,89,109,52,166,52,46,52,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilyichevsk,32,6,24,26,137,21,52,100,118,35,287,121,14,11,54,99,140,241,52,17,21,53,297,69,84,40,128,40,36,40,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constantza,201,36,152,161,859,130,327,625,737,217,1796,754,85,72,336,616,874,1507,328,109,133,332,1858,431,525,249,799,251,222,249,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piraeus,475,85,358,381,2028,307,772,1476,1741,512,4241,1782,200,170,794,1456,2064,3560,774,258,314,784,4388,1018,1240,588,1887,592,524,589,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rijeka,49,9,37,39,210,32,80,153,180,53,438,184,21,18,82,150,213,368,80,27,32,81,453,105,128,61,195,61,54,61,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koper,116,21,88,93,496,75,189,361,426,125,1037,436,49,41,194,356,505,870,189,63,77,192,1073,249,303,144,461,145,128,144,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trieste,94,17,71,75,400,61,152,291,344,101,837,352,39,33,157,287,407,703,153,51,62,155,866,201,245,116,372,117,103,116,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gioia Tauro,947,169,715,761,4046,613,1541,2945,3473,1022,8462,3555,398,338,1584,2904,4118,7102,1544,515,626,1564,8755,2031,2474,1173,3765,1181,1046,1174,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genoa,519,93,392,417,2216,336,844,1613,1902,560,4635,1947,218,185,868,1591,2256,3890,846,282,343,857,4795,1112,1355,642,2062,647,573,643,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fos,299,53,225,240,1275,193,486,928,1095,322,2667,1121,126,107,499,916,1298,2239,487,162,197,493,2760,640,780,370,1187,372,330,370,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona,609,109,460,489,2601,394,991,1893,2233,657,5441,2285,256,218,1018,1867,2648,4566,993,331,403,1006,5629,1306,1591,754,2421,759,673,755,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valencia,1236,221,933,992,5280,800,2011,3843,4532,1334,11043,4639,520,442,2067,3790,5374,9268,2015,672,817,2041,11425,2650,3229,1530,4913,1541,1365,1533,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaga,98,18,74,79,419,63,160,305,360,106,876,368,41,35,164,301,426,735,160,53,65,162,906,210,256,121,390,122,108,122,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeciras,1029,184,777,826,4397,666,1674,3200,3774,1111,9196,3863,433,368,1721,3156,4475,7718,1678,559,680,1700,9514,2207,2689,1274,4092,1284,1137,1276,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tangiers,338,60,255,272,1445,219,550,1052,1240,365,3022,1270,142,121,566,1037,1471,2536,552,184,224,559,3127,725,884,419,1345,422,374,419,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Havre,744,133,562,598,3179,481,1211,2314,2728,803,6649,2793,313,266,1245,2282,3236,5580,1213,404,492,1229,6879,1596,1944,921,2958,928,822,923,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felixstowe,1048,187,792,842,4480,678,1706,3260,3845,1132,9369,3936,441,375,1754,3216,4559,7863,1710,570,693,1732,9693,2248,2739,1298,4168,1308,1158,1300,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeebrugge,787,141,595,632,3364,510,1281,2448,2887,850,7036,2956,331,281,1317,2415,3424,5905,1284,428,521,1301,7280,1689,2057,975,3131,982,870,977,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antwerp,2472,442,1867,1985,10563,1600,4022,7687,9066,2669,22091,9280,1040,884,4135,7582,10750,18540,4031,1344,1634,4084,22855,5302,6459,3061,9829,3084,2731,3066,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rotterdam,3295,589,2488,2646,14080,2132,5361,10247,12084,3558,29446,12370,1386,1178,5512,10107,14330,24713,5374,1791,2179,5443,30465,7067,8609,4080,13102,4110,3641,4087,1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bremerhaven,1534,274,1158,1232,6555,993,2496,4770,5625,1656,13708,5759,645,548,2566,4705,6671,11505,2502,834,1014,2534,14182,3290,4008,1899,6099,1914,1695,1903,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,2371,424,1790,1904,10130,1534,3857,7372,8694,2560,21186,8900,997,847,3966,7.27E+03,10310,17780,3866,1289,1567,3916,21918,5084,6194,2936,9426,2957,2619,2940,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gothenburg,277,49,209,222,1182,179,450,860,1014,299,2471,1038,116,99,463,848,1202,2074,451,150,183,457,2556,593,722,342,1099,345,306,343,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aarhus,231,41,174,186,987,149,376,718,847,249,2064,867,97,83,386,708,1005,1732,377,126,153,382,2136,495,604,286,918,288,255,286,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gdansk,81,15,61,65,348,53,132,253,298,88,727,305,34,29,136,250,354,610,133,44,54,134,752,175,213,101,324,102,90,101,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
